Categoría: Todas las categorías

Mes,año nuevo chino: (Todo el mundo)
2004-01,23
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,3
2005-01,8
2005-02,18
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,1
2005-12,5
2006-01,20
2006-02,4
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,1
2006-09,1
2006-10,1
2006-11,1
2006-12,5
2007-01,9
2007-02,26
2007-03,1
2007-04,1
2007-05,0
2007-06,1
2007-07,0
2007-08,0
2007-09,1
2007-10,1
2007-11,1
2007-12,5
2008-01,11
2008-02,25
2008-03,1
2008-04,1
2008-05,1
2008-06,1
2008-07,<1
2008-08,1
2008-09,1
2008-10,1
2008-11,2
2008-12,6
2009-01,32
2009-02,3
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,1
2009-10,1
2009-11,2
2009-12,8
2010-01,12
2010-02,33
2010-03,2
2010-04,1
2010-05,1
2010-06,1
2010-07,<1
2010-08,1
2010-09,1
2010-10,1
2010-11,2
2010-12,7
2011-01,20
2011-02,32
2011-03,2
2011-04,2
2011-05,2
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,2
2011-12,11
2012-01,49
2012-02,5
2012-03,2
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,2
2012-12,9
2013-01,15
2013-02,33
2013-03,2
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,2
2013-12,8
2014-01,36
2014-02,14
2014-03,2
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,2
2014-11,2
2014-12,9
2015-01,16
2015-02,54
2015-03,3
2015-04,2
2015-05,2
2015-06,1
2015-07,1
2015-08,1
2015-09,1
2015-10,1
2015-11,2
2015-12,9
2016-01,22
2016-02,37
2016-03,2
2016-04,1
2016-05,1
2016-06,1
2016-07,1
2016-08,1
2016-09,1
2016-10,2
2016-11,2
2016-12,8
2017-01,49
2017-02,10
2017-03,2
2017-04,1
2017-05,1
2017-06,1
2017-07,1
2017-08,1
2017-09,1
2017-10,2
2017-11,3
2017-12,9
2018-01,20
2018-02,64
2018-03,2
2018-04,1
2018-05,1
2018-06,1
2018-07,1
2018-08,1
2018-09,2
2018-10,2
2018-11,3
2018-12,8
2019-01,26
2019-02,58
2019-03,2
2019-04,2
2019-05,2
2019-06,1
2019-07,1
2019-08,2
2019-09,2
2019-10,2
2019-11,3
2019-12,10
2020-01,67
2020-02,8
2020-03,4
2020-04,3
2020-05,2
2020-06,2
2020-07,1
2020-08,1
2020-09,2
2020-10,2
2020-11,3
2020-12,8
2021-01,26
2021-02,55
2021-03,3
2021-04,2
2021-05,2
2021-06,2
2021-07,1
2021-08,2
2021-09,2
2021-10,2
2021-11,3
2021-12,8
2022-01,46
2022-02,35
2022-03,3
2022-04,3
2022-05,2
2022-06,2
2022-07,2
2022-08,2
2022-09,2
2022-10,3
2022-11,4
2022-12,11
2023-01,83
2023-02,6
2023-03,3
2023-04,2
2023-05,2
2023-06,2
2023-07,2
2023-08,2
2023-09,2
2023-10,3
2023-11,4
2023-12,11
2024-01,34
2024-02,65
2024-03,4
2024-04,3
2024-05,2
2024-06,2
2024-07,2
2024-08,2
2024-09,3
2024-10,4
2024-11,5
2024-12,11
2025-01,81
2025-02,20
2025-03,3
2025-04,3
2025-05,2
2025-06,2
2025-07,2
2025-08,2
2025-09,3
2025-10,4
2025-11,4
2025-12,12
2026-01,32
2026-02,100
2026-03,6
2026-04,3
2026-05,3
2026-06,3
2026-07,3
2026-08,3
