Economy_Label,2002_US_at_current_prices_in_millions_Value,2002_US_at_current_prices_Footnote,2002_US_at_current_prices_MissingValue,2003_US_at_current_prices_in_millions_Value,2003_US_at_current_prices_Footnote,2003_US_at_current_prices_MissingValue,2004_US_at_current_prices_in_millions_Value,2004_US_at_current_prices_Footnote,2004_US_at_current_prices_MissingValue,2005_US_at_current_prices_in_millions_Value,2005_US_at_current_prices_Footnote,2005_US_at_current_prices_MissingValue,2006_US_at_current_prices_in_millions_Value,2006_US_at_current_prices_Footnote,2006_US_at_current_prices_MissingValue,2007_US_at_current_prices_in_millions_Value,2007_US_at_current_prices_Footnote,2007_US_at_current_prices_MissingValue,2008_US_at_current_prices_in_millions_Value,2008_US_at_current_prices_Footnote,2008_US_at_current_prices_MissingValue,2009_US_at_current_prices_in_millions_Value,2009_US_at_current_prices_Footnote,2009_US_at_current_prices_MissingValue,2010_US_at_current_prices_in_millions_Value,2010_US_at_current_prices_Footnote,2010_US_at_current_prices_MissingValue,2011_US_at_current_prices_in_millions_Value,2011_US_at_current_prices_Footnote,2011_US_at_current_prices_MissingValue,2012_US_at_current_prices_in_millions_Value,2012_US_at_current_prices_Footnote,2012_US_at_current_prices_MissingValue,2013_US_at_current_prices_in_millions_Value,2013_US_at_current_prices_Footnote,2013_US_at_current_prices_MissingValue,2014_US_at_current_prices_in_millions_Value,2014_US_at_current_prices_Footnote,2014_US_at_current_prices_MissingValue,2015_US_at_current_prices_in_millions_Value,2015_US_at_current_prices_Footnote,2015_US_at_current_prices_MissingValue,2016_US_at_current_prices_in_millions_Value,2016_US_at_current_prices_Footnote,2016_US_at_current_prices_MissingValue,2017_US_at_current_prices_in_millions_Value,2017_US_at_current_prices_Footnote,2017_US_at_current_prices_MissingValue,2018_US_at_current_prices_in_millions_Value,2018_US_at_current_prices_Footnote,2018_US_at_current_prices_MissingValue,2019_US_at_current_prices_in_millions_Value,2019_US_at_current_prices_Footnote,2019_US_at_current_prices_MissingValue,2020_US_at_current_prices_in_millions_Value,2020_US_at_current_prices_Footnote,2020_US_at_current_prices_MissingValue,2021_US_at_current_prices_in_millions_Value,2021_US_at_current_prices_Footnote,2021_US_at_current_prices_MissingValue,2022_US_at_current_prices_in_millions_Value,2022_US_at_current_prices_Footnote,2022_US_at_current_prices_MissingValue,2023_US_at_current_prices_in_millions_Value,2023_US_at_current_prices_Footnote,2023_US_at_current_prices_MissingValue,2024_US_at_current_prices_in_millions_Value,2024_US_at_current_prices_Footnote,2024_US_at_current_prices_MissingValue
"Austria",307,,,369,,,427,,,405,,,429,,,511,,,564,,,449,,,447,,,460,,,375,,,357,,,335,,,284,,,304,,,292,,,289,,,243,,,233,,,203,,,193,,,187,,,149,,
"Belgium",915,,,1175,,,1292,,,1308,,,1281,,,1471,,,1609,,,1322,,,1091,,,1186,,,995,,,937,,,866,,,733,,,759,,,691,,,650,,,473,,,363,,,380,,,395,,,400,,,390,,
"Bulgaria",4,,,7,,,6,,,7,,,9,,,17,,,19,,,14,,,13,,,19,,,21,,,27,,,30,,,29,,,31,,,32,,,35,,,39,,,37,,,47,,,42,,,37,,,31,,
"China",527,,,643,,,844,,,1020,,,1274,,,1731,,,2159,,,2001,,,2316,,,2637,,,2916,,,3025,,,3094,,,3143,,,2818,,,2902,,,3031,,,3139,,,2726,,,3351,,,3470,,,3086,,,3227,,
"China, Hong Kong SAR",1008,,,1107,,,1309,,,1461,,,1655,,,1874,,,1982,,,1631,,,1772,,,1824,,,1701,,,1657,,,1643,,,1609,,,1554,,,1383,,,1357,,,1324,,,1177,,,1357,,,667,,,621,,,652,,
"China, Macao SAR",0,,,0,,,0,,,0,,,0,,,0,,,2,,,1,,,0,,,1,,,0,,,0,,,1,,,1,,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
"Croatia",31,,,41,,,54,,,63,,,52,,,59,,,61,,,56,,,49,,,58,,,60,,,56,,,68,,,45,,,45,,,45,,,54,,,54,,,48,,,64,,,69,,,63,,,57,,
"Cyprus",5,,,6,,,7,,,6,,,7,,,6,,,6,,,7,,,7,,,8,,,6,,,18,,,14,,,0,,,0,,,0,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,
"Czechia",383,,,606,,,675,,,700,,,792,,,937,,,1214,,,1097,,,932,,,789,,,721,,,731,,,796,,,707,,,925,,,1007,,,893,,,875,,,804,,,865,,,758,,,737,,,756,,
"Denmark",269,,,321,,,342,,,322,,,331,,,326,,,309,,,280,,,249,,,273,,,278,,,338,,,347,,,282,,,236,,,218,,,232,,,197,,,192,,,187,,,203,,,183,,,166,,
"Estonia",11,,,16,,,25,,,40,,,45,,,59,,,76,,,73,,,91,,,108,,,105,,,110,,,110,,,89,,,98,,,90,,,90,,,85,,,73,,,74,,,83,,,72,,,61,,
"Finland",282,,,300,,,325,,,321,,,331,,,371,,,344,,,207,,,196,,,212,,,188,,,159,,,143,,,113,,,104,,,102,,,90,,,42,,,18,,,20,,,29,,,29,,,20,,
"France",1344,,,1618,,,1797,,,1906,,,1826,,,1981,,,2109,,,1927,,,1870,,,1935,,,1753,,,1664,,,1564,,,1303,,,1227,,,1278,,,1223,,,1206,,,1067,,,1292,,,1280,,,1436,,,1525,,
"Germany",3328,,,3714,,,4110,,,4681,,,4902,,,5432,,,5855,,,4957,,,4788,,,4877,,,4331,,,4433,,,4466,,,3827,,,3771,,,3812,,,4128,,,3675,,,3390,,,3785,,,3154,,,2942,,,2688,,
"Greece",37,,,59,,,65,,,77,,,77,,,90,,,121,,,116,,,91,,,85,,,72,,,76,,,69,,,66,,,61,,,58,,,60,,,61,,,51,,,59,,,75,,,52,,,62,,
"Hungary",44,,,51,,,75,,,71,,,81,,,104,,,157,,,125,,,158,,,198,,,200,,,193,,,151,,,120,,,129,,,148,,,199,,,174,,,158,,,223,,,212,,,185,,,183,,
"Ireland",157,,,303,,,208,,,242,,,254,,,211,,,134,,,115,,,103,,,104,,,99,,,121,,,125,,,111,,,85,,,68,,,80,,,104,,,83,,,65,,,71,,,86,,,102,,
"Italy",1200,,,1418,,,1543,,,1509,,,1547,,,1744,,,2047,,,1545,,,1591,,,1715,,,1486,,,1439,,,1439,,,1063,,,1072,,,1028,,,1112,,,1073,,,897,,,1061,,,1130,,,956,,,834,,
