Economy_Label,2002_US_at_current_prices_in_millions_Value,2002_US_at_current_prices_Footnote,2002_US_at_current_prices_MissingValue,2003_US_at_current_prices_in_millions_Value,2003_US_at_current_prices_Footnote,2003_US_at_current_prices_MissingValue,2004_US_at_current_prices_in_millions_Value,2004_US_at_current_prices_Footnote,2004_US_at_current_prices_MissingValue,2005_US_at_current_prices_in_millions_Value,2005_US_at_current_prices_Footnote,2005_US_at_current_prices_MissingValue,2006_US_at_current_prices_in_millions_Value,2006_US_at_current_prices_Footnote,2006_US_at_current_prices_MissingValue,2007_US_at_current_prices_in_millions_Value,2007_US_at_current_prices_Footnote,2007_US_at_current_prices_MissingValue,2008_US_at_current_prices_in_millions_Value,2008_US_at_current_prices_Footnote,2008_US_at_current_prices_MissingValue,2009_US_at_current_prices_in_millions_Value,2009_US_at_current_prices_Footnote,2009_US_at_current_prices_MissingValue,2010_US_at_current_prices_in_millions_Value,2010_US_at_current_prices_Footnote,2010_US_at_current_prices_MissingValue,2011_US_at_current_prices_in_millions_Value,2011_US_at_current_prices_Footnote,2011_US_at_current_prices_MissingValue,2012_US_at_current_prices_in_millions_Value,2012_US_at_current_prices_Footnote,2012_US_at_current_prices_MissingValue,2013_US_at_current_prices_in_millions_Value,2013_US_at_current_prices_Footnote,2013_US_at_current_prices_MissingValue,2014_US_at_current_prices_in_millions_Value,2014_US_at_current_prices_Footnote,2014_US_at_current_prices_MissingValue,2015_US_at_current_prices_in_millions_Value,2015_US_at_current_prices_Footnote,2015_US_at_current_prices_MissingValue,2016_US_at_current_prices_in_millions_Value,2016_US_at_current_prices_Footnote,2016_US_at_current_prices_MissingValue,2017_US_at_current_prices_in_millions_Value,2017_US_at_current_prices_Footnote,2017_US_at_current_prices_MissingValue,2018_US_at_current_prices_in_millions_Value,2018_US_at_current_prices_Footnote,2018_US_at_current_prices_MissingValue,2019_US_at_current_prices_in_millions_Value,2019_US_at_current_prices_Footnote,2019_US_at_current_prices_MissingValue,2020_US_at_current_prices_in_millions_Value,2020_US_at_current_prices_Footnote,2020_US_at_current_prices_MissingValue,2021_US_at_current_prices_in_millions_Value,2021_US_at_current_prices_Footnote,2021_US_at_current_prices_MissingValue,2022_US_at_current_prices_in_millions_Value,2022_US_at_current_prices_Footnote,2022_US_at_current_prices_MissingValue,2023_US_at_current_prices_in_millions_Value,2023_US_at_current_prices_Footnote,2023_US_at_current_prices_MissingValue,2024_US_at_current_prices_in_millions_Value,2024_US_at_current_prices_Footnote,2024_US_at_current_prices_MissingValue
"Austria",37,,,69,,,73,,,53,,,76,,,1621,,,1733,,,1490,,,1685,,,1700,,,1422,,,1399,,,1278,,,1081,,,637,,,571,,,995,,,831,,,823,,,837,,,798,,,805,,,668,,
"Belgium",100,,,139,,,131,,,128,,,223,,,661,,,565,,,414,,,249,,,243,,,282,,,261,,,321,,,340,,,304,,,285,,,244,,,260,,,217,,,215,,,182,,,176,,,156,,
"Bulgaria",0,,,2,,,4,,,2,,,2,,,16,,,31,,,24,,,24,,,21,,,18,,,15,,,21,,,22,,,26,,,47,,,53,,,74,,,57,,,57,,,42,,,37,,,53,,
"China",437,,,670,,,1380,,,1747,,,1977,,,6519,,,7654,,,6389,,,6523,,,6470,,,14006,,,11811,,,11582,,,14803,,,14355,,,16062,,,15457,,,13858,,,14242,,,19373,,,23027,,,23482,,,15342,,
"China, Hong Kong SAR",808,,,754,,,1017,,,1020,,,1252,,,2846,,,2709,,,3027,,,3308,,,4012,,,5177,,,4146,,,3329,,,3717,,,3662,,,5797,,,8393,,,6139,,,6106,,,6726,,,6505,,,5476,,,7179,,
"China, Macao SAR",0,,,0,,,0,,,0,,,0,,,0,,,1,,,0,,,0,,,,,,2,,,1,,,2,,,1,,,,,,1,,,0,,,0,,,1,,,2,,,0,,,1,,,0,,
"Croatia",0,,,0,,,0,,,0,,,1,,,24,,,27,,,21,,,13,,,17,,,11,,,16,,,30,,,47,,,52,,,56,,,40,,,29,,,27,,,28,,,21,,,31,,,23,,
"Cyprus",0,,,0,,,0,,,0,,,0,,,4,,,3,,,3,,,1,,,3,,,5,,,1,,,1,,,5,,,4,,,4,,,16,,,2,,,1,,,1,,,0,,,1,,,0,,
"Czechia",30,,,33,,,32,,,61,,,96,,,632,,,1422,,,1295,,,1005,,,1059,,,1158,,,1060,,,1200,,,1334,,,1572,,,2095,,,1437,,,1190,,,1253,,,1194,,,1030,,,1153,,,1006,,
"Denmark",35,,,45,,,92,,,61,,,42,,,396,,,430,,,325,,,299,,,299,,,309,,,332,,,319,,,255,,,274,,,295,,,267,,,189,,,177,,,171,,,159,,,205,,,168,,
"Estonia",0,,,0,,,0,,,0,,,1,,,27,,,21,,,9,,,11,,,15,,,20,,,29,,,69,,,34,,,36,,,22,,,15,,,14,,,17,,,48,,,37,,,33,,,23,,
"Finland",15,,,18,,,20,,,20,,,9,,,150,,,170,,,111,,,125,,,129,,,161,,,135,,,158,,,109,,,114,,,112,,,127,,,112,,,97,,,87,,,102,,,134,,,108,,
