País,Producto,Flujo,Destino,2002 Total en USD (millones),2003 Total en USD (millones),2004 Total en USD (millones),2005 Total en USD (millones),2006 Total en USD (millones),2007 Total en USD (millones),2008 Total en USD (millones),2009 Total en USD (millones),2010 Total en USD (millones),2011 Total en USD (millones),2012 Total en USD (millones),2013 Total en USD (millones),2014 Total en USD (millones),2015 Total en USD (millones),2016 Total en USD (millones),2017 Total en USD (millones),2018 Total en USD (millones),2019 Total en USD (millones),2020 Total en USD (millones),2021 Total en USD (millones),2022 Total en USD (millones),2023 Total en USD (millones),2024 Total en USD (millones)
China,"Software, videojuegos y recorded media",Exportación,Mundial,1245,1424,2397,2767,3229,9365,10364,9416,9831,10482,19185,15958,14913,18521,18017,21860,23850,19997,20349,26101,29532,28959,22521
China,"Software, videojuegos y recorded media",Importación,Mundial,2172,2179,3067,3360,3984,8786,8872,9203,10546,12269,13507,11543,11390,11250,10249,11547,14387,11262,12514,13201,12625,10979,13169
China,"Software, videojuegos y recorded media",Exportación,Japón,221,199,181,156,122,287,596,278,260,264,1816,1496,1057,903,1135,1992,1956,1526,1835,2132,1995,2428,1629
China,"Software, videojuegos y recorded media",Exportación,República de Corea,37,52,61,53,57,90,134,172,147,216,795,167,196,191,205,304,362,442,368,479,471,417,319
China,"Software, videojuegos y recorded media",Exportación,Unión Europea,120,277,328,306,342,1027,1366,1204,1002,862,2459,1795,1853,2803,3170,4357,4016,3766,3450,4447,5260,5869,3303
China,"Software, videojuegos y recorded media",Exportación,Reino Unido,19,39,61,76,95,315,365,313,281,233,465,573,656,843,752,786,747,786,1060,1442,1698,1418,872
China,"Software, videojuegos y recorded media",Exportación,Estados Unidos,101,144,619,794,728,2079,2056,1833,1489,1324,4181,4142,3742,4938,4133,5705,6765,4613,4749,7023,8743,8195,4845
China,"Música, artes performativas y visuales",Exportación,Mundial,659,803,996,1137,1297,1633,2038,1553,1974,2402,2690,3248,2948,2916,2643,2401,3429,5034,3940,8026,7144,8209,6978
China,"Música, artes performativas y visuales",Importación,Mundial,300,312,364,389,475,703,835,656,798,942,1080,1908,1957,2663,1871,1610,3471,5427,3640,7405,6457,6520,5233
China,Libros y publicaciones,Exportación,Mundial,1535,1750,2153,2481,2929,3605,4143,3633,4088,4462,4617,4682,4738,4753,4372,4285,4388,4463,3903,4708,4137,3707,3879
China,Libros y publicaciones,Importación,Mundial,825,915,1060,1229,1450,1673,1771,1847,2153,2268,2238,2114,2081,2100,1932,1947,2219,2136,1998,2049,1383,1241,1216
China,Audiovisual,Exportación,Mundial,5,6,6,5,3,6,4,6,7,7,5,4,5,4,3,3,2,1,3,9,1,1,1
China,Audiovisual,Importación,Mundial,17933,19117,21871,23247,25429,35367,37644,35161,40183,51570,54632,53699,54990,50558,47628,51495,56837,57460,52704,72752,68192,72562,66083
Japón,"Software, videojuegos y recorded media",Exportación,Mundial,3874,4383,4787,5163,5971,4961,4660,3267,3259,2892,3479,3097,2816,2435,2385,3297,4096,3659,4293,4502,3663,3202,2280
Japón,"Software, videojuegos y recorded media",Importación,Mundial,566,715,968,1247,1239,2023,2197,2167,2662,2475,4411,3601,3130,2478,2568,3357,3217,2907,3076,3217,3323,3803,3111
Japón,"Música, artes performativas y visuales",Exportación,Mundial,677,686,742,711,720,1104,1178,863,908,991,925,909,811,891,962,901,1055,1031,731,973,951,863,757
Japón,"Música, artes performativas y visuales",Importación,Mundial,545,567,691,697,803,830,981,755,772,743,817,830,897,896,1008,1081,1070,1037,1002,1121,877,343,1546
Japón,Libros y publicaciones,Exportación,Mundial,283,340,392,444,467,533,686,683,701,612,482,392,342,309,302,297,272,261,235,264,240,224,233
Japón,Libros y publicaciones,Importación,Mundial,545,595,591,584,580,572,590,531,541,560,572,508,469,398,365,366,370,337,299,333,318,301,246
Japón,Audiovisual,Exportación,Mundial,294,375,472,519,481,491,466,325,400,351,355,393,356,317,333,369,498,457,396,399,395,352,354
Japón,Audiovisual,Importación,Mundial,11203,12216,14005,15759,16304,18309,19076,17728,18733,21511,24014,21771,21013,18741,19072,20420,20869,20679,18531,20159,21143,21410,22665
República de Corea,"Software, videojuegos y recorded media",Exportación,Mundial,620,737,1067,1336,1213,1231,1203,1278,1663,1821,1047,943,1076,1054,1095,816,2581,5208,10693,13698,14308,6002,11484
República de Corea,"Software, videojuegos y recorded media",Importación,Mundial,227,305,549,713,857,2176,2195,1586,2301,2187,1363,1191,1271,889,927,1163,1463,1694,2459,3099,3743,3088,2024
República de Corea,"Música, artes performativas y visuales",Exportación,Mundial,278,256,329,410,538,429,1023,469,302,280,302,337,254,597,423,233,261,238,347,477,466,530,484
República de Corea,"Música, artes performativas y visuales",Importación,Mundial,197,205,207,239,385,1041,957,383,367,368,387,362,367,400,553,587,677,585,511,922,1083,731,708
República de Corea,Libros y publicaciones,Exportación,Mundial,125,131,149,167,167,193,213,181,304,215,210,200,187,174,161,174,184,178,170,251,294,347,320
República de Corea,Libros y publicaciones,Importación,Mundial,171,180,196,227,269,324,329,294,299,301,271,261,261,232,207,213,205,210,200,216,193,182,168
República de Corea,Audiovisual,Exportación,Mundial,41,35,47,63,95,92,84,66,95,116,150,165,255,230,245,230,280,319,316,356,288,244,243
República de Corea,Audiovisual,Importación,Mundial,1956,2216,2546,3193,3830,6500,6634,4931,6390,7025,6297,6503,7100,6790,7196,7872,8966,9312,10085,12839,13859,12526,11418
Unión Europea,"Software, videojuegos y recorded media",Exportación,Mundial,2255,2305,2702,3269,3574,19575,22066,18058,17728,18165,18453,16742,17339,16565,16343,17885,18426,16006,15040,15891,14970,14998,12948
Unión Europea,"Software, videojuegos y recorded media",Importación,Mundial,2602,3368,4232,4557,5708,19895,21098,17374,16949,17548,20791,19517,21150,19759,19702,23400,22754,19884,19858,22060,19688,21017,17377
Unión Europea,"Música, artes performativas y visuales",Exportación,Mundial,2376,2684,3219,3299,4190,6178,6393,5247,5075,6004,6257,6673,6345,5664,6267,6009,6121,5836,5471,7373,6819,6991,6829
Unión Europea,"Música, artes performativas y visuales",Importación,Mundial,2020,2050,2623,3001,3371,6078,6629,5069,5024,5094,4843,4753,5464,4805,4727,4868,5415,5343,6279,6876,6243,6317,6809
Unión Europea,Libros y publicaciones,Exportación,Mundial,10615,12674,14025,14828,15415,17185,18954,15830,15113,15977,14437,14650,14561,12654,12818,13355,14358,13439,12411,13998,12741,12045,11649
