Economy_Label,2002_US_at_current_prices_in_millions_Value,2002_US_at_current_prices_Footnote,2002_US_at_current_prices_MissingValue,2003_US_at_current_prices_in_millions_Value,2003_US_at_current_prices_Footnote,2003_US_at_current_prices_MissingValue,2004_US_at_current_prices_in_millions_Value,2004_US_at_current_prices_Footnote,2004_US_at_current_prices_MissingValue,2005_US_at_current_prices_in_millions_Value,2005_US_at_current_prices_Footnote,2005_US_at_current_prices_MissingValue,2006_US_at_current_prices_in_millions_Value,2006_US_at_current_prices_Footnote,2006_US_at_current_prices_MissingValue,2007_US_at_current_prices_in_millions_Value,2007_US_at_current_prices_Footnote,2007_US_at_current_prices_MissingValue,2008_US_at_current_prices_in_millions_Value,2008_US_at_current_prices_Footnote,2008_US_at_current_prices_MissingValue,2009_US_at_current_prices_in_millions_Value,2009_US_at_current_prices_Footnote,2009_US_at_current_prices_MissingValue,2010_US_at_current_prices_in_millions_Value,2010_US_at_current_prices_Footnote,2010_US_at_current_prices_MissingValue,2011_US_at_current_prices_in_millions_Value,2011_US_at_current_prices_Footnote,2011_US_at_current_prices_MissingValue,2012_US_at_current_prices_in_millions_Value,2012_US_at_current_prices_Footnote,2012_US_at_current_prices_MissingValue,2013_US_at_current_prices_in_millions_Value,2013_US_at_current_prices_Footnote,2013_US_at_current_prices_MissingValue,2014_US_at_current_prices_in_millions_Value,2014_US_at_current_prices_Footnote,2014_US_at_current_prices_MissingValue,2015_US_at_current_prices_in_millions_Value,2015_US_at_current_prices_Footnote,2015_US_at_current_prices_MissingValue,2016_US_at_current_prices_in_millions_Value,2016_US_at_current_prices_Footnote,2016_US_at_current_prices_MissingValue,2017_US_at_current_prices_in_millions_Value,2017_US_at_current_prices_Footnote,2017_US_at_current_prices_MissingValue,2018_US_at_current_prices_in_millions_Value,2018_US_at_current_prices_Footnote,2018_US_at_current_prices_MissingValue,2019_US_at_current_prices_in_millions_Value,2019_US_at_current_prices_Footnote,2019_US_at_current_prices_MissingValue,2020_US_at_current_prices_in_millions_Value,2020_US_at_current_prices_Footnote,2020_US_at_current_prices_MissingValue,2021_US_at_current_prices_in_millions_Value,2021_US_at_current_prices_Footnote,2021_US_at_current_prices_MissingValue,2022_US_at_current_prices_in_millions_Value,2022_US_at_current_prices_Footnote,2022_US_at_current_prices_MissingValue,2023_US_at_current_prices_in_millions_Value,2023_US_at_current_prices_Footnote,2023_US_at_current_prices_MissingValue,2024_US_at_current_prices_in_millions_Value,2024_US_at_current_prices_Footnote,2024_US_at_current_prices_MissingValue
"Austria",2,,,1,,,1,,,1,,,0,,,1,,,1,,,3,,,2,,,2,,,1,,,1,,,0,,,1,,,1,,,1,,,0,,,2,,,3,,,1,,,1,,,1,,,1,,
"Belgium",13,,,15,,,18,,,17,,,12,,,13,,,14,,,12,,,11,,,12,,,9,,,7,,,7,,,8,,,8,,,7,,,7,,,7,,,8,,,11,,,9,,,10,,,8,,
"Bulgaria",8,,,6,,,7,,,7,,,11,,,10,,,14,,,14,,,21,,,2,,,,,,0,,,,,,0,,,0,,,0,,,1,,,0,,,0,,,0,,,0,,,0,,,0,,
"China",0,,,0,,,1,,,1,,,0,,,1,,,0,,,0,,,0,,,1,,,2,,,2,,,3,,,2,,,1,,,1,,,1,,,1,,,3,,,8,,,1,,,1,,,1,,
"China, Hong Kong SAR",5,,,6,,,5,,,4,,,3,,,5,,,4,,,6,,,7,,,6,,,3,,,2,,,2,,,2,,,2,,,2,,,1,,,0,,,0,,,1,,,0,,,0,,,0,,
"Croatia",2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
"Cyprus",0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Czechia",1,,,1,,,0,,,1,,,1,,,1,,,2,,,1,,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,
"Denmark",3,,,1,,,2,,,2,,,1,,,2,,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
"Estonia",0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,
"Finland",8,,,9,,,8,,,6,,,4,,,3,,,2,,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
"France",47,,,54,,,53,,,61,,,65,,,62,,,49,,,32,,,36,,,33,,,26,,,14,,,19,,,13,,,8,,,11,,,17,,,18,,,16,,,13,,,19,,,18,,,19,,
"Germany",75,,,73,,,80,,,81,,,81,,,109,,,98,,,42,,,46,,,50,,,61,,,84,,,69,,,87,,,139,,,145,,,175,,,162,,,174,,,176,,,179,,,164,,,164,,
