Economy_Label,2002_US_at_current_prices_in_millions_Value,2002_US_at_current_prices_Footnote,2002_US_at_current_prices_MissingValue,2003_US_at_current_prices_in_millions_Value,2003_US_at_current_prices_Footnote,2003_US_at_current_prices_MissingValue,2004_US_at_current_prices_in_millions_Value,2004_US_at_current_prices_Footnote,2004_US_at_current_prices_MissingValue,2005_US_at_current_prices_in_millions_Value,2005_US_at_current_prices_Footnote,2005_US_at_current_prices_MissingValue,2006_US_at_current_prices_in_millions_Value,2006_US_at_current_prices_Footnote,2006_US_at_current_prices_MissingValue,2007_US_at_current_prices_in_millions_Value,2007_US_at_current_prices_Footnote,2007_US_at_current_prices_MissingValue,2008_US_at_current_prices_in_millions_Value,2008_US_at_current_prices_Footnote,2008_US_at_current_prices_MissingValue,2009_US_at_current_prices_in_millions_Value,2009_US_at_current_prices_Footnote,2009_US_at_current_prices_MissingValue,2010_US_at_current_prices_in_millions_Value,2010_US_at_current_prices_Footnote,2010_US_at_current_prices_MissingValue,2011_US_at_current_prices_in_millions_Value,2011_US_at_current_prices_Footnote,2011_US_at_current_prices_MissingValue,2012_US_at_current_prices_in_millions_Value,2012_US_at_current_prices_Footnote,2012_US_at_current_prices_MissingValue,2013_US_at_current_prices_in_millions_Value,2013_US_at_current_prices_Footnote,2013_US_at_current_prices_MissingValue,2014_US_at_current_prices_in_millions_Value,2014_US_at_current_prices_Footnote,2014_US_at_current_prices_MissingValue,2015_US_at_current_prices_in_millions_Value,2015_US_at_current_prices_Footnote,2015_US_at_current_prices_MissingValue,2016_US_at_current_prices_in_millions_Value,2016_US_at_current_prices_Footnote,2016_US_at_current_prices_MissingValue,2017_US_at_current_prices_in_millions_Value,2017_US_at_current_prices_Footnote,2017_US_at_current_prices_MissingValue,2018_US_at_current_prices_in_millions_Value,2018_US_at_current_prices_Footnote,2018_US_at_current_prices_MissingValue,2019_US_at_current_prices_in_millions_Value,2019_US_at_current_prices_Footnote,2019_US_at_current_prices_MissingValue,2020_US_at_current_prices_in_millions_Value,2020_US_at_current_prices_Footnote,2020_US_at_current_prices_MissingValue,2021_US_at_current_prices_in_millions_Value,2021_US_at_current_prices_Footnote,2021_US_at_current_prices_MissingValue,2022_US_at_current_prices_in_millions_Value,2022_US_at_current_prices_Footnote,2022_US_at_current_prices_MissingValue,2023_US_at_current_prices_in_millions_Value,2023_US_at_current_prices_Footnote,2023_US_at_current_prices_MissingValue,2024_US_at_current_prices_in_millions_Value,2024_US_at_current_prices_Footnote,2024_US_at_current_prices_MissingValue
"Austria",0,,,2,,,0,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,3,,,3,,,3,,,2,,,2,,,2,,,3,,,3,,,4,,,4,,,3,,,4,,,4,,
"Belgium",0,,,1,,,0,,,0,,,0,,,3,,,2,,,3,,,2,,,1,,,1,,,0,,,0,,,1,,,1,,,1,,,1,,,1,,,2,,,1,,,1,,,1,,,1,,
"Bulgaria",0,,,,,,0,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
"China",143,,,140,,,139,,,135,,,105,,,162,,,515,,,206,,,197,,,210,,,1563,,,1312,,,903,,,818,,,1046,,,1569,,,1377,,,1292,,,1511,,,1815,,,1855,,,2299,,,1474,,
"China, Hong Kong SAR",78,,,59,,,42,,,21,,,17,,,125,,,81,,,72,,,63,,,54,,,253,,,184,,,154,,,85,,,89,,,423,,,579,,,234,,,324,,,317,,,140,,,129,,,155,,
"China, Macao SAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Croatia",,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
"Cyprus",,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,
"Czechia",,,,0,,,0,,,0,,,0,,,7,,,2,,,1,,,1,,,0,,,0,,,0,,,1,,,0,,,1,,,2,,,2,,,2,,,4,,,2,,,1,,,1,,,2,,
"Denmark",0,,,0,,,0,,,0,,,0,,,0,,,1,,,0,,,1,,,1,,,2,,,1,,,1,,,1,,,1,,,1,,,2,,,1,,,1,,,2,,,1,,,1,,,1,,
"Estonia",,,,,,,,,,,,,,,,0,,,0,,,,,,0,,,,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,0,,,0,,,,,,0,,
"Finland",0,,,,,,0,,,0,,,0,,,0,,,0,,,1,,,0,,,1,,,1,,,1,,,2,,,1,,,0,,,0,,,1,,,2,,,1,,,1,,,1,,,0,,,1,,
