Economy_Label,2002_US_at_current_prices_in_millions_Value,2002_US_at_current_prices_Footnote,2002_US_at_current_prices_MissingValue,2003_US_at_current_prices_in_millions_Value,2003_US_at_current_prices_Footnote,2003_US_at_current_prices_MissingValue,2004_US_at_current_prices_in_millions_Value,2004_US_at_current_prices_Footnote,2004_US_at_current_prices_MissingValue,2005_US_at_current_prices_in_millions_Value,2005_US_at_current_prices_Footnote,2005_US_at_current_prices_MissingValue,2006_US_at_current_prices_in_millions_Value,2006_US_at_current_prices_Footnote,2006_US_at_current_prices_MissingValue,2007_US_at_current_prices_in_millions_Value,2007_US_at_current_prices_Footnote,2007_US_at_current_prices_MissingValue,2008_US_at_current_prices_in_millions_Value,2008_US_at_current_prices_Footnote,2008_US_at_current_prices_MissingValue,2009_US_at_current_prices_in_millions_Value,2009_US_at_current_prices_Footnote,2009_US_at_current_prices_MissingValue,2010_US_at_current_prices_in_millions_Value,2010_US_at_current_prices_Footnote,2010_US_at_current_prices_MissingValue,2011_US_at_current_prices_in_millions_Value,2011_US_at_current_prices_Footnote,2011_US_at_current_prices_MissingValue,2012_US_at_current_prices_in_millions_Value,2012_US_at_current_prices_Footnote,2012_US_at_current_prices_MissingValue,2013_US_at_current_prices_in_millions_Value,2013_US_at_current_prices_Footnote,2013_US_at_current_prices_MissingValue,2014_US_at_current_prices_in_millions_Value,2014_US_at_current_prices_Footnote,2014_US_at_current_prices_MissingValue,2015_US_at_current_prices_in_millions_Value,2015_US_at_current_prices_Footnote,2015_US_at_current_prices_MissingValue,2016_US_at_current_prices_in_millions_Value,2016_US_at_current_prices_Footnote,2016_US_at_current_prices_MissingValue,2017_US_at_current_prices_in_millions_Value,2017_US_at_current_prices_Footnote,2017_US_at_current_prices_MissingValue,2018_US_at_current_prices_in_millions_Value,2018_US_at_current_prices_Footnote,2018_US_at_current_prices_MissingValue,2019_US_at_current_prices_in_millions_Value,2019_US_at_current_prices_Footnote,2019_US_at_current_prices_MissingValue,2020_US_at_current_prices_in_millions_Value,2020_US_at_current_prices_Footnote,2020_US_at_current_prices_MissingValue,2021_US_at_current_prices_in_millions_Value,2021_US_at_current_prices_Footnote,2021_US_at_current_prices_MissingValue,2022_US_at_current_prices_in_millions_Value,2022_US_at_current_prices_Footnote,2022_US_at_current_prices_MissingValue,2023_US_at_current_prices_in_millions_Value,2023_US_at_current_prices_Footnote,2023_US_at_current_prices_MissingValue,2024_US_at_current_prices_in_millions_Value,2024_US_at_current_prices_Footnote,2024_US_at_current_prices_MissingValue
"Austria",27,,,51,,,61,,,44,,,57,,,1101,,,1178,,,1019,,,1149,,,1155,,,1036,,,986,,,922,,,758,,,462,,,406,,,766,,,640,,,629,,,641,,,603,,,627,,,464,,
"Belgium",61,,,102,,,111,,,105,,,193,,,557,,,482,,,365,,,214,,,211,,,256,,,224,,,265,,,282,,,243,,,232,,,196,,,205,,,163,,,175,,,142,,,134,,,91,,
"Bulgaria",0,,,1,,,2,,,1,,,1,,,9,,,23,,,17,,,17,,,13,,,12,,,9,,,15,,,18,,,22,,,40,,,28,,,38,,,25,,,37,,,17,,,23,,,42,,
"China",84,,,208,,,244,,,230,,,272,,,734,,,843,,,699,,,619,,,504,,,1863,,,1345,,,1554,,,2488,,,2917,,,3576,,,2882,,,2943,,,2767,,,3883,,,4747,,,5378,,,2825,,
"China, Hong Kong SAR",36,,,69,,,84,,,76,,,70,,,293,,,523,,,505,,,383,,,358,,,596,,,450,,,299,,,315,,,253,,,781,,,1134,,,823,,,683,,,564,,,513,,,491,,,478,,
"China, Macao SAR",,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,
"Croatia",0,,,0,,,0,,,0,,,0,,,6,,,6,,,6,,,3,,,5,,,4,,,5,,,14,,,30,,,40,,,44,,,23,,,13,,,13,,,13,,,10,,,18,,,10,,
"Cyprus",0,,,,,,0,,,0,,,,,,3,,,2,,,2,,,1,,,2,,,1,,,1,,,0,,,2,,,2,,,3,,,15,,,1,,,0,,,1,,,0,,,0,,,0,,
"Czechia",28,,,31,,,28,,,33,,,33,,,450,,,1087,,,961,,,764,,,816,,,894,,,793,,,835,,,1040,,,1179,,,1532,,,1160,,,979,,,1019,,,987,,,868,,,955,,,818,,
"Denmark",25,,,35,,,76,,,51,,,34,,,258,,,301,,,195,,,204,,,193,,,213,,,255,,,238,,,192,,,210,,,223,,,204,,,148,,,128,,,132,,,110,,,139,,,101,,
"Estonia",0,,,0,,,0,,,0,,,0,,,21,,,15,,,7,,,9,,,12,,,14,,,15,,,48,,,13,,,18,,,12,,,9,,,7,,,11,,,14,,,15,,,20,,,11,,
"Finland",2,,,3,,,3,,,5,,,3,,,78,,,72,,,58,,,65,,,70,,,100,,,67,,,80,,,70,,,64,,,53,,,56,,,48,,,36,,,29,,,44,,,50,,,50,,
"France",250,,,217,,,236,,,260,,,240,,,932,,,933,,,858,,,906,,,836,,,902,,,820,,,923,,,773,,,681,,,751,,,923,,,795,,,791,,,828,,,838,,,845,,,983,,
"Germany",506,,,424,,,551,,,680,,,1051,,,4406,,,4663,,,4394,,,4155,,,4065,,,4550,,,3749,,,3902,,,3613,,,3544,,,3330,,,3503,,,3125,,,2695,,,3087,,,2637,,,2432,,,1753,,
"Greece",0,,,3,,,5,,,5,,,5,,,46,,,54,,,40,,,41,,,35,,,28,,,41,,,45,,,40,,,67,,,73,,,58,,,55,,,76,,,101,,,51,,,61,,,73,,
"Hungary",3,,,5,,,8,,,11,,,11,,,45,,,66,,,53,,,57,,,57,,,66,,,60,,,70,,,73,,,98,,,150,,,131,,,98,,,79,,,79,,,87,,,89,,,100,,
"Ireland",99,,,68,,,46,,,97,,,78,,,1108,,,1081,,,655,,,592,,,730,,,617,,,577,,,440,,,420,,,391,,,316,,,322,,,330,,,302,,,305,,,270,,,135,,,115,,
"Italy",45,,,33,,,36,,,36,,,18,,,248,,,235,,,175,,,201,,,186,,,237,,,195,,,244,,,227,,,224,,,234,,,255,,,216,,,217,,,256,,,233,,,252,,,247,,
"Japan",585,,,648,,,666,,,760,,,900,,,1082,,,937,,,658,,,521,,,454,,,709,,,719,,,612,,,390,,,417,,,766,,,952,,,913,,,1047,,,1164,,,995,,,837,,,537,,
"Latvia",0,,,0,,,0,,,0,,,2,,,8,,,8,,,4,,,4,,,8,,,8,,,10,,,21,,,24,,,24,,,20,,,31,,,37,,,49,,,42,,,38,,,47,,,30,,
"Lithuania",1,,,1,,,1,,,12,,,14,,,20,,,19,,,8,,,9,,,8,,,17,,,15,,,22,,,39,,,34,,,30,,,42,,,11,,,12,,,16,,,9,,,15,,,11,,
"Luxembourg",214,,,278,,,272,,,307,,,102,,,265,,,217,,,137,,,32,,,21,,,21,,,16,,,14,,,12,,,18,,,7,,,13,,,10,,,11,,,10,,,6,,,4,,,3,,
"Malta",0,,,0,,,1,,,0,,,1,,,0,,,0,,,0,,,0,,,0,,,2,,,0,,,1,,,1,,,4,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
"Netherlands (Kingdom of the)",258,,,271,,,268,,,486,,,395,,,1810,,,2394,,,1551,,,1567,,,1924,,,1858,,,1723,,,1650,,,1386,,,1338,,,1521,,,1427,,,1285,,,971,,,1116,,,955,,,1081,,,930,,
"Poland",1,,,1,,,5,,,11,,,12,,,338,,,350,,,262,,,387,,,392,,,428,,,445,,,663,,,1456,,,1578,,,1856,,,1918,,,1085,,,1372,,,1443,,,1583,,,1589,,,1090,,
"Portugal",3,,,7,,,10,,,18,,,26,,,31,,,25,,,41,,,22,,,16,,,16,,,12,,,10,,,10,,,10,,,10,,,10,,,12,,,13,,,11,,,15,,,15,,,18,,
"Republic of Korea",63,,,166,,,326,,,435,,,286,,,328,,,286,,,180,,,129,,,107,,,52,,,61,,,18,,,38,,,49,,,49,,,304,,,680,,,1381,,,1914,,,1909,,,855,,,1755,,
"Romania",2,,,1,,,0,,,1,,,2,,,13,,,20,,,32,,,50,,,60,,,24,,,34,,,49,,,53,,,47,,,70,,,121,,,151,,,133,,,124,,,115,,,134,,,127,,
"Slovakia",0,,,1,,,4,,,28,,,29,,,131,,,152,,,168,,,151,,,159,,,203,,,212,,,236,,,252,,,244,,,275,,,322,,,331,,,253,,,291,,,261,,,310,,,268,,
"Slovenia",0,,,0,,,0,,,0,,,5,,,16,,,20,,,22,,,18,,,27,,,30,,,14,,,27,,,37,,,18,,,23,,,32,,,22,,,15,,,18,,,17,,,19,,,21,,
"Spain",18,,,22,,,38,,,47,,,74,,,143,,,149,,,142,,,135,,,167,,,191,,,218,,,248,,,187,,,392,,,793,,,928,,,956,,,980,,,1047,,,787,,,907,,,650,,
"Sweden",8,,,7,,,6,,,7,,,10,,,347,,,412,,,322,,,259,,,275,,,318,,,262,,,235,,,191,,,175,,,216,,,189,,,187,,,330,,,264,,,233,,,339,,,249,,
"United Kingdom",181,,,192,,,268,,,565,,,1098,,,2020,,,1920,,,,,,1802,,,1626,,,1373,,,1372,,,1542,,,1291,,,1300,,,1268,,,1141,,,887,,,885,,,540,,,502,,,545,,,449,,
"United States",335,,,293,,,249,,,251,,,290,,,721,,,665,,,527,,,472,,,469,,,501,,,486,,,518,,,455,,,479,,,496,,,660,,,755,,,920,,,1138,,,1166,,,1012,,,1141,,
"European Union (2020 …)",1552,,,1562,,,1769,,,2247,,,2398,,,12389,,,13964,,,11495,,,11014,,,11444,,,12044,,,10759,,,11218,,,11199,,,11128,,,12221,,,12682,,,10785,,,10323,,,11069,,,9946,,,10241,,,8255,,
