Economy_Label,2002_US_at_current_prices_in_millions_Value,2002_US_at_current_prices_Footnote,2002_US_at_current_prices_MissingValue,2003_US_at_current_prices_in_millions_Value,2003_US_at_current_prices_Footnote,2003_US_at_current_prices_MissingValue,2004_US_at_current_prices_in_millions_Value,2004_US_at_current_prices_Footnote,2004_US_at_current_prices_MissingValue,2005_US_at_current_prices_in_millions_Value,2005_US_at_current_prices_Footnote,2005_US_at_current_prices_MissingValue,2006_US_at_current_prices_in_millions_Value,2006_US_at_current_prices_Footnote,2006_US_at_current_prices_MissingValue,2007_US_at_current_prices_in_millions_Value,2007_US_at_current_prices_Footnote,2007_US_at_current_prices_MissingValue,2008_US_at_current_prices_in_millions_Value,2008_US_at_current_prices_Footnote,2008_US_at_current_prices_MissingValue,2009_US_at_current_prices_in_millions_Value,2009_US_at_current_prices_Footnote,2009_US_at_current_prices_MissingValue,2010_US_at_current_prices_in_millions_Value,2010_US_at_current_prices_Footnote,2010_US_at_current_prices_MissingValue,2011_US_at_current_prices_in_millions_Value,2011_US_at_current_prices_Footnote,2011_US_at_current_prices_MissingValue,2012_US_at_current_prices_in_millions_Value,2012_US_at_current_prices_Footnote,2012_US_at_current_prices_MissingValue,2013_US_at_current_prices_in_millions_Value,2013_US_at_current_prices_Footnote,2013_US_at_current_prices_MissingValue,2014_US_at_current_prices_in_millions_Value,2014_US_at_current_prices_Footnote,2014_US_at_current_prices_MissingValue,2015_US_at_current_prices_in_millions_Value,2015_US_at_current_prices_Footnote,2015_US_at_current_prices_MissingValue,2016_US_at_current_prices_in_millions_Value,2016_US_at_current_prices_Footnote,2016_US_at_current_prices_MissingValue,2017_US_at_current_prices_in_millions_Value,2017_US_at_current_prices_Footnote,2017_US_at_current_prices_MissingValue,2018_US_at_current_prices_in_millions_Value,2018_US_at_current_prices_Footnote,2018_US_at_current_prices_MissingValue,2019_US_at_current_prices_in_millions_Value,2019_US_at_current_prices_Footnote,2019_US_at_current_prices_MissingValue,2020_US_at_current_prices_in_millions_Value,2020_US_at_current_prices_Footnote,2020_US_at_current_prices_MissingValue,2021_US_at_current_prices_in_millions_Value,2021_US_at_current_prices_Footnote,2021_US_at_current_prices_MissingValue,2022_US_at_current_prices_in_millions_Value,2022_US_at_current_prices_Footnote,2022_US_at_current_prices_MissingValue,2023_US_at_current_prices_in_millions_Value,2023_US_at_current_prices_Footnote,2023_US_at_current_prices_MissingValue,2024_US_at_current_prices_in_millions_Value,2024_US_at_current_prices_Footnote,2024_US_at_current_prices_MissingValue
"Austria",2696,,,3324,,,3891,,,4202,,,4511,,,7055,,,7385,,,6561,,,6626,,,7244,,,6859,,,6904,,,7312,,,6319,,,6513,,,6452,,,7199,,,6631,,,5920,,,6944,,,6332,,,9126,,,6915,,
"Belgium",3937,,,4822,,,5587,,,5926,,,6228,,,8597,,,9353,,,7891,,,5884,,,6487,,,5861,,,5752,,,5931,,,4887,,,4790,,,4915,,,5073,,,4812,,,4289,,,5374,,,5126,,,4801,,,4774,,
"Bulgaria",178,,,243,,,300,,,356,,,420,,,674,,,798,,,561,,,544,,,605,,,555,,,616,,,667,,,595,,,635,,,700,,,782,,,839,,,752,,,976,,,1039,,,1045,,,1034,,
"China",2929,,,3273,,,3903,,,4591,,,5356,,,9144,,,9822,,,9494,,,11581,,,14296,,,14606,,,14449,,,15127,,,15119,,,13728,,,14567,,,16297,,,18600,,,20271,,,27860,,,24234,,,25288,,,21554,,
"China, Hong Kong SAR",14810,,,15612,,,17671,,,18344,,,19630,,,25669,,,27219,,,24956,,,27643,,,35497,,,37973,,,36792,,,37531,,,33462,,,32146,,,35002,,,38346,,,36619,,,30637,,,41033,,,40453,,,42920,,,40957,,
"China, Macao SAR",194,,,232,,,297,,,312,,,443,,,554,,,603,,,711,,,959,,,1777,,,2053,,,2458,,,2332,,,1977,,,1754,,,1926,,,2194,,,2241,,,1796,,,3859,,,3505,,,4354,,,3572,,
"Croatia",363,,,475,,,626,,,688,,,776,,,1029,,,1020,,,766,,,642,,,677,,,597,,,592,,,654,,,615,,,670,,,727,,,824,,,830,,,733,,,857,,,914,,,1014,,,1073,,
"Cyprus",208,,,233,,,273,,,291,,,334,,,460,,,521,,,424,,,390,,,381,,,304,,,244,,,275,,,296,,,225,,,230,,,279,,,254,,,238,,,308,,,338,,,383,,,397,,
"Czechia",1170,,,1481,,,1827,,,1967,,,2493,,,3788,,,4716,,,3767,,,3538,,,3844,,,3676,,,3946,,,4144,,,4022,,,4646,,,5614,,,5338,,,5116,,,4913,,,5607,,,5581,,,5326,,,5156,,
"Denmark",1567,,,1893,,,2050,,,2283,,,2603,,,3888,,,4086,,,3349,,,3519,,,3693,,,3301,,,3270,,,3550,,,3174,,,3146,,,3382,,,3272,,,3192,,,3073,,,3942,,,3525,,,3283,,,3488,,
"Estonia",148,,,175,,,183,,,205,,,259,,,393,,,405,,,272,,,275,,,341,,,375,,,411,,,415,,,305,,,333,,,352,,,372,,,370,,,343,,,440,,,411,,,381,,,423,,
