Economy_Label,2002_US_at_current_prices_in_millions_Value,2002_US_at_current_prices_Footnote,2002_US_at_current_prices_MissingValue,2003_US_at_current_prices_in_millions_Value,2003_US_at_current_prices_Footnote,2003_US_at_current_prices_MissingValue,2004_US_at_current_prices_in_millions_Value,2004_US_at_current_prices_Footnote,2004_US_at_current_prices_MissingValue,2005_US_at_current_prices_in_millions_Value,2005_US_at_current_prices_Footnote,2005_US_at_current_prices_MissingValue,2006_US_at_current_prices_in_millions_Value,2006_US_at_current_prices_Footnote,2006_US_at_current_prices_MissingValue,2007_US_at_current_prices_in_millions_Value,2007_US_at_current_prices_Footnote,2007_US_at_current_prices_MissingValue,2008_US_at_current_prices_in_millions_Value,2008_US_at_current_prices_Footnote,2008_US_at_current_prices_MissingValue,2009_US_at_current_prices_in_millions_Value,2009_US_at_current_prices_Footnote,2009_US_at_current_prices_MissingValue,2010_US_at_current_prices_in_millions_Value,2010_US_at_current_prices_Footnote,2010_US_at_current_prices_MissingValue,2011_US_at_current_prices_in_millions_Value,2011_US_at_current_prices_Footnote,2011_US_at_current_prices_MissingValue,2012_US_at_current_prices_in_millions_Value,2012_US_at_current_prices_Footnote,2012_US_at_current_prices_MissingValue,2013_US_at_current_prices_in_millions_Value,2013_US_at_current_prices_Footnote,2013_US_at_current_prices_MissingValue,2014_US_at_current_prices_in_millions_Value,2014_US_at_current_prices_Footnote,2014_US_at_current_prices_MissingValue,2015_US_at_current_prices_in_millions_Value,2015_US_at_current_prices_Footnote,2015_US_at_current_prices_MissingValue,2016_US_at_current_prices_in_millions_Value,2016_US_at_current_prices_Footnote,2016_US_at_current_prices_MissingValue,2017_US_at_current_prices_in_millions_Value,2017_US_at_current_prices_Footnote,2017_US_at_current_prices_MissingValue,2018_US_at_current_prices_in_millions_Value,2018_US_at_current_prices_Footnote,2018_US_at_current_prices_MissingValue,2019_US_at_current_prices_in_millions_Value,2019_US_at_current_prices_Footnote,2019_US_at_current_prices_MissingValue,2020_US_at_current_prices_in_millions_Value,2020_US_at_current_prices_Footnote,2020_US_at_current_prices_MissingValue,2021_US_at_current_prices_in_millions_Value,2021_US_at_current_prices_Footnote,2021_US_at_current_prices_MissingValue,2022_US_at_current_prices_in_millions_Value,2022_US_at_current_prices_Footnote,2022_US_at_current_prices_MissingValue,2023_US_at_current_prices_in_millions_Value,2023_US_at_current_prices_Footnote,2023_US_at_current_prices_MissingValue,2024_US_at_current_prices_in_millions_Value,2024_US_at_current_prices_Footnote,2024_US_at_current_prices_MissingValue
"Austria",61,,,79,,,98,,,133,,,466,,,290,,,228,,,229,,,208,,,279,,,201,,,324,,,317,,,202,,,330,,,190,,,258,,,179,,,210,,,226,,,159,,,202,,,204,,
"Belgium",104,,,206,,,279,,,321,,,339,,,541,,,536,,,449,,,189,,,184,,,241,,,130,,,199,,,167,,,200,,,243,,,190,,,170,,,119,,,212,,,226,,,214,,,211,,
"Bulgaria",1,,,1,,,2,,,2,,,2,,,6,,,9,,,12,,,4,,,8,,,5,,,6,,,9,,,10,,,9,,,6,,,11,,,7,,,6,,,8,,,8,,,10,,,7,,
"China",507,,,629,,,823,,,965,,,1073,,,1359,,,1673,,,1326,,,1698,,,2098,,,2350,,,2865,,,2470,,,2407,,,2128,,,1920,,,2086,,,2665,,,2719,,,4838,,,3552,,,3243,,,3131,,
"China, Hong Kong SAR",152,,,174,,,173,,,172,,,224,,,274,,,365,,,227,,,276,,,304,,,340,,,383,,,478,,,508,,,515,,,481,,,1343,,,2369,,,1221,,,3183,,,3591,,,4964,,,3847,,
"China, Macao SAR",0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,,,,,,0,,,0,,,0,,,0,,,5,,,1,,,2,,,0,,
"Croatia",1,,,2,,,1,,,2,,,3,,,4,,,6,,,4,,,3,,,4,,,5,,,4,,,4,,,5,,,4,,,4,,,3,,,5,,,5,,,9,,,11,,,12,,,16,,
"Cyprus",0,,,0,,,0,,,1,,,0,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,1,,,1,,,3,,,1,,,10,,,3,,,2,,,1,,,0,,,0,,
"Czechia",68,,,75,,,80,,,89,,,79,,,105,,,106,,,83,,,98,,,110,,,97,,,110,,,138,,,145,,,149,,,172,,,183,,,185,,,182,,,232,,,273,,,262,,,256,,
"Denmark",44,,,39,,,49,,,54,,,45,,,73,,,77,,,76,,,67,,,82,,,76,,,93,,,102,,,102,,,88,,,76,,,87,,,88,,,104,,,133,,,119,,,88,,,102,,
"Estonia",4,,,6,,,6,,,9,,,8,,,7,,,5,,,3,,,4,,,6,,,6,,,6,,,8,,,8,,,12,,,8,,,9,,,9,,,11,,,14,,,10,,,16,,,14,,
"Finland",19,,,22,,,27,,,25,,,48,,,27,,,25,,,16,,,17,,,17,,,17,,,15,,,11,,,8,,,6,,,14,,,12,,,13,,,15,,,32,,,22,,,28,,,22,,
"France",567,,,726,,,777,,,811,,,1130,,,1297,,,1585,,,1210,,,1061,,,1749,,,1922,,,2275,,,1586,,,1525,,,2143,,,1602,,,1619,,,1657,,,1354,,,1933,,,1569,,,1685,,,1655,,
"Germany",877,,,853,,,1123,,,1073,,,1131,,,1465,,,1673,,,1365,,,1672,,,1884,,,1877,,,1619,,,1652,,,1629,,,1505,,,1741,,,1938,,,1798,,,1608,,,2432,,,2181,,,2262,,,2105,,
"Greece",5,,,7,,,9,,,6,,,6,,,25,,,44,,,38,,,37,,,12,,,12,,,17,,,11,,,8,,,49,,,10,,,10,,,22,,,12,,,20,,,106,,,45,,,35,,
"Hungary",8,,,6,,,7,,,9,,,15,,,17,,,17,,,14,,,10,,,10,,,10,,,11,,,12,,,8,,,10,,,12,,,12,,,10,,,14,,,15,,,15,,,12,,,17,,
"Ireland",11,,,20,,,38,,,14,,,25,,,698,,,678,,,491,,,464,,,224,,,124,,,64,,,31,,,28,,,19,,,30,,,22,,,23,,,17,,,60,,,50,,,36,,,28,,
"Italy",257,,,272,,,312,,,345,,,403,,,465,,,484,,,316,,,470,,,513,,,609,,,760,,,816,,,622,,,563,,,551,,,673,,,618,,,453,,,597,,,687,,,707,,,660,,
"Japan",677,,,686,,,742,,,711,,,720,,,1104,,,1178,,,863,,,908,,,991,,,925,,,909,,,811,,,891,,,962,,,901,,,1055,,,1031,,,731,,,973,,,951,,,863,,,757,,
"Latvia",0,,,0,,,0,,,1,,,1,,,4,,,3,,,2,,,3,,,7,,,7,,,4,,,4,,,11,,,4,,,5,,,5,,,6,,,8,,,10,,,14,,,11,,,13,,
"Lithuania",1,,,1,,,1,,,1,,,1,,,2,,,3,,,3,,,6,,,7,,,6,,,7,,,6,,,5,,,6,,,5,,,7,,,7,,,10,,,12,,,12,,,16,,,11,,
"Luxembourg",1,,,2,,,4,,,1,,,1,,,4,,,9,,,3,,,2,,,5,,,4,,,19,,,67,,,2,,,2,,,8,,,13,,,6,,,19,,,11,,,7,,,7,,,6,,
"Malta",0,,,0,,,2,,,0,,,0,,,1,,,1,,,1,,,1,,,1,,,3,,,2,,,1,,,1,,,1,,,1,,,3,,,2,,,1,,,2,,,2,,,0,,,1,,
"Netherlands (Kingdom of the)",96,,,139,,,174,,,173,,,207,,,644,,,361,,,344,,,311,,,422,,,559,,,742,,,897,,,691,,,679,,,798,,,510,,,505,,,492,,,673,,,656,,,667,,,647,,
"Poland",14,,,37,,,48,,,38,,,46,,,65,,,87,,,58,,,73,,,109,,,96,,,84,,,97,,,129,,,138,,,121,,,131,,,88,,,100,,,145,,,184,,,198,,,196,,
"Portugal",3,,,4,,,4,,,4,,,10,,,30,,,30,,,19,,,23,,,27,,,32,,,33,,,39,,,26,,,26,,,29,,,32,,,35,,,31,,,44,,,40,,,29,,,26,,
"Republic of Korea",278,,,256,,,329,,,410,,,538,,,429,,,1023,,,469,,,302,,,280,,,302,,,337,,,254,,,597,,,423,,,233,,,261,,,238,,,347,,,477,,,466,,,530,,,484,,
"Romania",8,,,11,,,13,,,13,,,15,,,25,,,36,,,20,,,22,,,25,,,25,,,20,,,17,,,15,,,17,,,15,,,18,,,16,,,14,,,19,,,22,,,19,,,22,,
